"File","Coder","Coded","Id","Codename","Coded_Memo","Category"
"Grupo 4 - Classe Média - Pretos - 10-10-2014.docx","José Victor","M: E aí, gente, o que é ser rico?   P6: Não depender de nada e ninguém, para mim.   M: Mas o que é não depender de nada e ninguém? Eu quero entender.  P6: Não depender financeiramente, não depender... Para mim é basicamente isso. Não depender financeiramente de ninguém. É você ser autossuficiente para fazer o que você quiser.   M: Tá, mas o que é ser rico?   P3: Fazer o que dá na telha...  P7: Acho que é independência mesmo. Você ter uma maior independência. Por exemplo, eu acho que ser rico… Rico é aquela pessoa, desculpa, que até a próxima geração vai ter grana. Se eu tiver um filho, o meu filho não vai precisar se preocupar com o filho, que também vai ser rico. E talvez a próxima geração também tenha uma condiçãozinha legal.   P2: Todas as gerações.","ctid:1862","01 Riqueza material","","00 Riqueza"
"Grupo 4 - Classe Média - Pretos - 10-10-2014.docx","José Victor","P5: Mas eu penso muito parecido com ele. Como a gente está falando sobre dinheiro, a riqueza material mesmo, eu penso que é dentro dessa questão das possibilidades, de você fazer o que você quiser fazer e não depender de outras pessoas para isso, se você quiser tirar um sabático... E em contrapartida você não ter dinheiro, você não ter riqueza é você não ter possibilidades de fazer o que você vislumbra fazer ou de possibilitar que outras pessoas também façam e tenham determinados acessos. Então, também, saúde, bem-estar, todas as coisas que foram ditas aqui, mas eu penso muito em relação às possibilidades.   M: E aí não ser rico significa...   P5: Não ter acesso, não ter possibilidades de construir. ","ctid:1871","01 Riqueza material","","00 Riqueza"
"Grupo 4 - Classe Média - Pretos - 10-10-2014.docx","José Victor","M: Qual é a diferença entre ser rico e ter riqueza? Vamos, XXX.  P2: Eu ainda acredito que ter a riqueza é deter o poder.   M: Ter a riqueza é deter o...  P2: É deter o poder, é ser livre. Porque tem pessoas que são ricas e não são livres. A riqueza ela detém o poder, o controle, até todas as gerações, a pessoa pode ter um milhão de gerações e ela vai continuar ali detendo aquele poder. Entendeu? Para mim isso é muito perceptível. E a diferença é essa de ser rico, porque muitas das vezes o rico, ele... Aí fico eu pensando, estruturando na pesquisa do IBGE, aquela tabela básica, ele tem problemas financeiros sim, porque ele trabalha para pagar a conta, o rico ele trabalha hoje em dia… //  P7: Para fazer a manutenção do dinheiro  P2: // Exatamente, para poder fazer a manutenção... Quem tem riqueza não precisa realmente se preocupar com isso.   P1: Só que manter ou multiplicar a riqueza dele.   P2: Ele respirou, a riqueza dele se multiplica. Então tem essa questão da detenção do poder porque... Vai sendo a descendência, meio de uma ascendência e uma descendência e a riqueza vai se manter junto com o poder, com os privilégios, com os lugares abertos. Vão colocar pessoas como eu, agora eu falo por mim, que tem sempre essa autoafirmação de que precisa se estudar, precisa se estudar, precisa se estudar, mas hoje eu já tenho uma consciência que eu não serei uma pessoa rica. Então eu estudo muito para poder dividir esse saber que eu gosto muito, eu gosto muito de lecionar e dividir esse saber, mas eu sei que eu não vou ser uma pessoa rica, eu não vou deter riqueza, não vou deter poder. Mas eu gosto de estudar muito para poder me sentir um pouco mais livre. Eu acredito que quem tem essa riqueza é totalmente livre, pode tudo.","ctid:1888","01 Riqueza material","","00 Riqueza"
"Grupo 4 - Classe Média - Pretos - 10-10-2014.docx","José Victor","P7: É a diferença... Eu acho que eu vejo muito como a diferença do ser e o estar. Por exemplo, o Neymar, ele é rico, ele detém riqueza, diferente de outras pessoas que ficaram ricas e tem que fazer a manutenção daquilo. O Neymar pode parar em qualquer momento, ele continuará bilionário, milionário, ele vai continuar a viver... É a diferença do ser e do estar, ele é, o filho dele é, o filho do filho dele vai ser. É a assim, é isso, essa é a diferença do ser e do estar, ele é. Outras pessoas que estão tendo acesso agora...  P3: Diversas famílias, que todo mundo deve ter um exemplo, são famílias que não vão deixar de deter riqueza nunca.   P7: Que vão viver dos royalties, né?  P2: Isso, exatamente.  P3: E diversos segmentos, petróleo, comunicação, indústria farmacêutica, são famílias...  P2: Que há manutenção.  P3: São famílias que vai sair um e entrar outro...  P1: São mais de 500 rádios no Nordeste. Você acha que...  P3: Só muda a posição política também...  P2: Isso.  P3: Tem várias famílias, sai um e entra outro, sai um... Se alguém quiser vir aqui não consegue...  PN: Família Garotinho.  P6: O famoso nepotismo.  P3: É escada rolante, fica ali sempre os mesmos...  P7: E só conseguem ser ricos em detrimento de uma galera que é pobre.  P1: Claro.  P7: Para que essa galera, para que o Neymar seja esse cara milionário, tem uma galera que ele sonega imposto, tem uma galera que ele desviava da mansão lá da… da região Costa Verde... //  P1: Não é só isso. Tem muito pobre que é levado a consumir aquilo que o Neymar vende...  P7: // Sim. Aquelas bets da vida, que....","ctid:1891","01 Riqueza material","","00 Riqueza"
"Grupo 4 - Classe Média - Pretos - 10-10-2014.docx","José Victor","M: Mas vamos lá para resumir essa parte. Ser rico é? (...)  P2: Ter dinheiro.  P3: Ter capital.  M: E ter riqueza?  P2: Ter poder.  P1: Ter poder.","ctid:1898","01 Riqueza material","","00 Riqueza"
"Grupo 4 - Classe Média - Pretos - 10-10-2014.docx","José Victor","P4: Hoje, para mim, riqueza… //  M: Eu quero uma palavra, o que vem à sua cabeça.  P4: // Sim. Para mim, hoje, é saúde, bem-estar.   M: Saúde… XXX?  P3: Riqueza, quando eu penso em... Poucas, para poucas pessoas.  M: É para poucos.  M: XXX.   P2: Desigualdade.  M: XXX?  P1: Liberdade de tempo e espaço.  M: Liberdade de tempo e espaço?  P1: Isso. É o que eu quiser, na hora que eu quiser. E principalmente não ir onde eu não quero. [risos]  M: XXX.   P8: Eu ia usar desigual, mas...  M: Isso, vamos fazer diferente.   P8: Segurança, eu acho.  M: Segurança. XXX?   P7: Para mim riqueza é minha família reunida. Na mesa, com bastante comida. A gente gosta muito de comer. Fartura de comida. A gente gosta... Estamos muito ligados à comida. Acho que isso também é riqueza. Minha família também.   M: Tá. XXX?  P6: Saúde, em primeiro lugar  M: Saúde também.   P6: Saúde.   M: Tá. XXX?   P5: Eu acho que possibilidades.  M: Possibilidades.","ctid:1856","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 4 - Classe Média - Pretos - 10-10-2014.docx","José Victor","P2: Poder.   M: Poder?   P7: Acesso.  P1: Contatos.   P6: Para mim, riqueza não é só financeiramente.","ctid:1991","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 4 - Classe Média - Pretos - 10-10-2014.docx","José Victor","P1: Aqui no Brasil a gente é tão desigual, nós somos tão pobres. Eu comecei a minha vida de forma... Não posso dizer que eu era pobre, mas era bastante humilde. Então muitas coisas que eu tenho hoje eu nem sonhava em ter quando eu era garoto. Para falar a verdade, aos 18 anos de idade, eu achava que eu nunca teria um carro, coisa doida, como a gente é criado dentro daquele contexto, a gente não enxerga as coisas como elas podem ser. Mas, assim, como gestor, eu diria que riqueza é você não precisar ou poder parar de trabalhar. Isso aqui a gente associa com riqueza, bens materiais, que a gente não tem. Lá fora é tão fácil as pessoas terem as coisas. Mas, assim, as únicas pessoas que são ricas de verdade são aquelas que podem se dar luxo de não trabalhar ou de poder: “Ah, não quero mais exercer essa atividade; chega, para mim já deu”. Quantos de nós podemos realmente tirar um ano sabático? Tipo, esse ano não vou trabalhar porque eu quero me dedicar só a uma atividade X ou Y. A gente nunca para para pensar nisso, né? A gente só sabe que a gente quer fazer alguma coisa e o tempo não para. ","ctid:1857","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 4 - Classe Média - Pretos - 10-10-2014.docx","José Victor","P7: É, porque tem, desculpa, tem um estudo que fala que a gente que, nós que somos pessoas pretas, demora, a quantidade de gerações que demora para alguém da nossa família, acho que é a terceira, quarta ou quinta geração, até a nossa família estar mais estruturada. Eu acho que riqueza é isso, que eu, se eu pensar amanhã ou depois em ser pai, que meu filho não se preocupe, que não tenha as mesmas preocupações que eu tive, que não precise se preocupar com nada.  ","ctid:1865","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 4 - Classe Média - Pretos - 10-10-2014.docx","José Victor","P5: Mas eu penso muito parecido com ele. Como a gente está falando sobre dinheiro, a riqueza material mesmo, eu penso que é dentro dessa questão das possibilidades, de você fazer o que você quiser fazer e não depender de outras pessoas para isso, se você quiser tirar um sabático... E em contrapartida você não ter dinheiro, você não ter riqueza é você não ter possibilidades de fazer o que você vislumbra fazer ou de possibilitar que outras pessoas também façam e tenham determinados acessos. Então, também, saúde, bem-estar, todas as coisas que foram ditas aqui, mas eu penso muito em relação às possibilidades.  ","ctid:1874","02 Riqueza - definições IMateriais","","00 Riqueza"
