"File","Coder","Coded","Id","Codename","Coded_Memo","Category"
"Grupo 9 - Pobres - Todos - 12-11-2024.docx","Germano","P6: Casa, estabilidade de dinheiro. Conseguir... Quando se tem dinheiro você consegue realizar seus sonhos, seus objetivos. Isso traria conforto. Com riqueza.","ctid:3109","01 Riqueza material","","00 Riqueza"
"Grupo 9 - Pobres - Todos - 12-11-2024.docx","Germano","P5: Eu acho que uma renda é aquilo que você usufrui, é o que você tem através do seu trabalho. Eu acho que a riqueza é aquilo que você constrói dentro da sua vida. Eu penso assim. Você tem uma fonte de renda, mas você tem uma riqueza... //  P4: Riqueza é mais o patrimônio.  P5: // É isso aí, é o patrimônio. Eu penso assim. ","ctid:3903","01 Riqueza material","","00 Riqueza"
"Grupo 9 - Pobres - Todos - 12-11-2024.docx","Germano","P7: Acredito que, em relação à riqueza, o primeiro é a família. ","ctid:3102","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 9 - Pobres - Todos - 12-11-2024.docx","Germano","P6: Conforto. ","ctid:3103","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 9 - Pobres - Todos - 12-11-2024.docx","Germano","P4: Estabilidade. ","ctid:3105","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 9 - Pobres - Todos - 12-11-2024.docx","Germano","P3: Eu vou usar a palavra prosperidade. ","ctid:3106","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 9 - Pobres - Todos - 12-11-2024.docx","Germano","P2: Riqueza... Bem-estar. ","ctid:3107","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 9 - Pobres - Todos - 12-11-2024.docx","Germano","P1: Saúde.","ctid:3108","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 9 - Pobres - Todos - 12-11-2024.docx","Germano","P1: Olha, como eu acabei de falar, eu faço serviços para a rede de supermercados Zona Sul. Ali a diferença é absurda, as pessoas que compram as coisas ali têm um poder aquisitivo muito maior. A gente olha o preço, eles não olham o preço, entendeu? //  P6: É um nível social diferente, né? Quem frequenta o mercado Zona Sul.","ctid:3122","03 Quem é o rico","","00 Riqueza"
"Grupo 9 - Pobres - Todos - 12-11-2024.docx","Germano","P1: Não, mas a pessoa que tem... O pessoal que é rico, que mora na Zona Sul, eles têm uma forma de se portar diferente. Até de falar. Diferente das outras pessoas. ","ctid:3124","03 Quem é o rico","","00 Riqueza"
"Grupo 9 - Pobres - Todos - 12-11-2024.docx","Germano","P1: Não são todos, mas tem muita gente que tem um ar de soberbidade, entendeu? Porque, justamente, você tá ali servindo a eles. Então são soberbos. “Você vai fazer porque eu pago o seu salário”. É mais ou menos assim. Então você já enxerga ali. O cara te olha por cima, então o cara tem uma patente alta, entendeu? E você vê essa diferença... A classe média, porque tem muita gente de classe média que mora por lá. Você vê. Você fala assim: “Esse aí veio de baixo”. Estudou, foi engatinhando e conseguiu chegar aqui. Não nasceu com, entendeu?   M: Tá, mas aí esses não têm soberba? Ou menos soberba?   P1: Menos. São mais simpáticos, mais sociáveis, porque quando as pessoas sabem de onde vieram, dependendo da família em que foram criadas, elas têm um parâmetro para lidar com as outras pessoas. ","ctid:3130","03 Quem é o rico","","00 Riqueza"
"Grupo 9 - Pobres - Todos - 12-11-2024.docx","Germano","P5: É. O que eu quis dizer foi pessoalmente. No meio onde eu vivo, onde eu convivo, eu acho mais difícil você perceber... Na verdade, não é perceber. É que tem muito menos do que em outros lugares. Então, assim, como eu moro na Zona Norte, dificilmente você vai ver uma pessoa rica de verdade na Zona Norte. Muito difícil, entendeu? Eu trabalho aqui no Centro, aqui no Centro tem, pode ter, mas também é difícil, geralmente são pessoas... São trabalhadores, às vezes até classe média ou classe alta, talvez, mas não pessoas ricas, igual está sendo o caso que a gente está conversando aqui. Então por isso que eu falei que é mais difícil você perceber. É mais difícil você ter esse contato, na verdade. ","ctid:3134","03 Quem é o rico","","00 Riqueza"
