"File","Coder","Coded","Id","Codename","Coded_Memo","Category"
"Grupo 1 - Pobres - Pretos e Pardos - 23-05-2024.docx","Germano","P5: Eu já não vejo riqueza nesse sentido só financeiro, questão de bens, eu considero a riqueza igual o Brasil. O Brasil é rico de tudo, mas como pessoa, como ser humano, vamos colocar assim, como pessoas, brasileiro não tem nada. Até os mais ricos, até as pessoas que têm uma condição financeira boa, não conseguem ter a riqueza. Entendeu? Assim, eu vejo riqueza não só no fundo monetário de dinheiro, vejo riqueza... Nós somos ricos de coisas que temos e tem que ir no mercado ali comprar arroz. O arroz tá custando 32 reais. A chuva que teve no Sul, o mercado tá botando um quilo de arroz... Então, assim, tá difícil para quem tem dinheiro e até para quem não tem. ","ctid:740","01 Riqueza material","","00 Riqueza"
"Grupo 1 - Pobres - Pretos e Pardos - 23-05-2024.docx","Germano","P4: Poder de compra, qualidade de vida... Acesso à saúde, independente dos fatores... //","ctid:91","01 Riqueza material","","00 Riqueza"
"Grupo 1 - Pobres - Pretos e Pardos - 23-05-2024.docx","Germano","P1: Assim, riqueza foi um pouquinho do que cada um falou. Você ter uma casa para morar, a sua família ter comida todos os dias, não é... Ah, eu tô passando necessidade, às vezes falta, às vezes todo dia você tá comendo aquela mesma coisa, mas você tem aquilo para comer, tem pessoas que não têm nem o básico: um arroz, um feijão, uma mistura, o básico, ovo, não têm. Então, assim, eu considero riqueza isso, você ter teto, você ter lar, uma família, uma estabilidade financeira, que você possa pagar suas contas ali honestamente, não precisar de tirar dos outros para você ter o seu. Isso eu considero riqueza. ","ctid:101","01 Riqueza material","","00 Riqueza"
"Grupo 1 - Pobres - Pretos e Pardos - 23-05-2024.docx","Germano","P4: Eu penso na riqueza dessa... Quando a gente utiliza a palavra riqueza, a gente tem que entender que a gente faz contraponto de rico e pobre. E tem escalas. É claro que hoje você vê dentro de uma comunidade, você vê uma pessoa às vezes com uma televisão de 40 polegadas, com sofá retrátil, coisas que antigamente você não tinha condições, você não via com tanta facilidade. Mas quando você fala de riqueza, a gente fala de poder de compra, de você poder morar numa... Ah, você mora na Baixada Fluminense, mas você mora dentro de um condomínio, então você já sabe... Você já está dentro de uma geografia classe média ou classe baixa, mas você já está num lugar diferenciado. Onde eu moro é uma classe baixa, tem comunidades em torno, mas ali tem três condomínios que são alto padrão, que você não compra uma casa por menos de 500 mil reais. Então, a gente está falando de pessoas que estão inseridas numa região pobre e hoje você vai numa Rocinha você tem casas de pessoas de classe média que não tem às vezes o valor de aparelho doméstico dentro de uma comunidade. Mas quando você fala de riqueza, riqueza é como a pessoa se vê, como a pessoa se encontra, pô, as viagens que a pessoa faz, a forma com que a pessoa lida com aquilo que é um poder monetário que ela tem. É a mentalidade que acho que muda, entendeu? De como você administra aquilo que você tem. ","ctid:104","01 Riqueza material","","00 Riqueza"
"Grupo 1 - Pobres - Pretos e Pardos - 23-05-2024.docx","Germano","P4: Isso, acho que é mais como a pessoa se vê, porque hoje as pessoas pegam aquilo lá: riqueza é ter saúde. Não, isso é parâmetro, claro, porque isso não se compra, mas agora quando a gente fala de... Pessoa ser rica ou não, a gente vê dessa forma, você vai ver que é o poder de compra que a pessoa tem, de poder se locomover, de poder viajar, de poder ter acesso a uma saúde melhor, entendeu? Você é uma pessoa rica, não fica no SISREG, entendeu? Ela tem acesso a melhores profissionais, entendeu? //","ctid:106","01 Riqueza material","","00 Riqueza"
"Grupo 1 - Pobres - Pretos e Pardos - 23-05-2024.docx","Germano","P5: Assim, pegando o gancho que ele colocou, é a questão... Mesmo de como você se vê. Eu moro na Tijuca. Tá, moro numa comunidade. Tá, mas eu vou falar, ah, eu trabalho à beça, na minha casa eu sei que eu tenho... Vou me comparar a uma pessoa que tem poder aquisitivo alto. Eu posso ter um iPhone, eu posso ter uma televisão de não sei quanto. Claro que eu moro ali numa comunidade, mas eu não tenho nada menos do que eu acho que eu mereço. Então, assim, com o meu salário, com o que eu ganho... Tá, então eu posso falar assim... Ah, então me considero rica? Entendeu?  M: Essa é a pergunta.  P5: Me considero, me considero, independente de onde eu moro. Se ser rico é ter determinadas coisas que o outro que tem poder aquisitivo maior que o meu tem, então posso me considerar rica morando ou não... Aonde seja. Mas então vou falar, assim, que eu me considero rica porque, se eu olhar na minha casa, meu filho tem iPhone, se eu olhar na minha casa, a minha televisão é de 50 polegadas, a minha geladeira é agora... Saiu da linha branca, foi para linha inox. Então é como você se vê.","ctid:109","01 Riqueza material","","00 Riqueza"
"Grupo 1 - Pobres - Pretos e Pardos - 23-05-2024.docx","Germano","P1: Se é a forma como você se sente, sim, aí todos que têm um padrão, né? Porque a sociedade impõe um padrão. Se você tiver isso, você está bem de vida. Se você não tiver, você está pobre. Mas, pensando no lado monetário, rico é quem não precisa trabalhar, que dorme e acorda com a sua conta bancária milionária... //  P7: Que pouco se esforça, né?   P1: // Exatamente. Não tem preocupação //","ctid:114","01 Riqueza material","","00 Riqueza"
"Grupo 1 - Pobres - Pretos e Pardos - 23-05-2024.docx","Germano","P3: É o padrão de vida de cada um.","ctid:145","01 Riqueza material","","00 Riqueza"
"Grupo 1 - Pobres - Pretos e Pardos - 23-05-2024.docx","Germano","P4: // Então, acho que a distribuição, ela poderia ser melhor? Poderia ser melhor, mas eu acho que, para ela ser melhor, quem tá lá em cima tem que ter o interesse de falar assim: “Cara, preciso mexer no meu”. //","ctid:152","01 Riqueza material","","00 Riqueza"
"Grupo 1 - Pobres - Pretos e Pardos - 23-05-2024.docx","Germano","P4: Poder de compra, qualidade de vida... Acesso à saúde, independente dos fatores... //","ctid:92","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 1 - Pobres - Pretos e Pardos - 23-05-2024.docx","Germano","P2: Também concordo com isso. Eu vejo riqueza em saúde, riqueza em a gente dormir com contas pagas, com a nossa família toda dentro de casa. Com ninguém desempregado dentro de casa. A gente não vai chegar à riqueza, à riqueza, todo mundo milionário. Ou ficar rico, porque ninguém vai ser chamado para o Big Brother. Isso é muito difícil. Ainda chegando lá nós vamos arrumar uma confusão. Se ele for ao que se propõe. ","ctid:94","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 1 - Pobres - Pretos e Pardos - 23-05-2024.docx","Germano","P7: Eu falo sobre bem-estar em todos os aspectos.","ctid:96","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 1 - Pobres - Pretos e Pardos - 23-05-2024.docx","Germano","P1: Assim, riqueza foi um pouquinho do que cada um falou. Você ter uma casa para morar, a sua família ter comida todos os dias, não é... Ah, eu tô passando necessidade, às vezes falta, às vezes todo dia você tá comendo aquela mesma coisa, mas você tem aquilo para comer, tem pessoas que não têm nem o básico: um arroz, um feijão, uma mistura, o básico, ovo, não têm. Então, assim, eu considero riqueza isso, você ter teto, você ter lar, uma família, uma estabilidade financeira, que você possa pagar suas contas ali honestamente, não precisar de tirar dos outros para você ter o seu. Isso eu considero riqueza. ","ctid:98","02 Riqueza - definições IMateriais","","00 Riqueza"
