"File","Coder","Coded","Id","Codename","Coded_Memo","Category"
"Grupo 10 - Pobres - Pretos - 13-11-2024.docx","José Victor","P6: A riqueza em uma palavra?  M: É. Uma ou duas, três no máximo.  P8: É... Desig… É… //  P7: Desigualdade.  P8: // Ela não é, ela não tem parâmetro igual. Uns tem mais e muitos têm menos e poucos tem mais.","ctid:5195","01 Riqueza material","","00 Riqueza"
"Grupo 10 - Pobres - Pretos - 13-11-2024.docx","José Victor","M: Você, XXX?  P5: Liberdade financeira.  M: Você, XXX?  P4: Dinheiro.  M: XXX?  P3: Liberdade financeira.  P2: A riqueza em si, quando você fala a palavra riqueza, o que vem à cabeça, vem a palavra “ouro”.","ctid:5198","01 Riqueza material","","00 Riqueza"
"Grupo 10 - Pobres - Pretos - 13-11-2024.docx","José Victor","M: Tá, tudo bem, está registrado. E você, XXX?  P1: Imóveis.   M: Imóveis. Tá.  P1: Imóveis ou heranças. Pra mim é a mesma coisa.","ctid:5199","01 Riqueza material","","00 Riqueza"
"Grupo 10 - Pobres - Pretos - 13-11-2024.docx","José Victor","P7: Dinheiro e riqueza pra mim é a mesma coisa. ","ctid:5206","01 Riqueza material","","00 Riqueza"
"Grupo 10 - Pobres - Pretos - 13-11-2024.docx","José Victor","P1: Riqueza pra mim… A gente também tem muito essa concepção hoje de que quem tem riqueza é o cara que tem um milhão de seguidores, que mora numa mansão de cinco milhões na Barra. Isso não é riqueza. Às vezes a pessoa é muito mais feliz tendo, talvez, um salário que a renda da família seja cinco mil reais do que uma pessoa que tem cinquenta. Ou de que uma pessoa só na casa ganhe dez e sustente todo mundo. Porque é muito ruim quando você, no meu caso, assim, da minha percepção de vida, não sei de vocês, né? Assim, a minha família é dividida. Um pessoal é classe média... Classe média que eu digo que ganha mais de 8 mil reais, não é que ganha 4 mil reais, 5 mil reais, não. Quatro, cinco mil reais seria o ideal para as pessoas sobreviverem hoje. Que é pagar um bom colégio, que é uma coisa que deveríamos já ter, mas não é enquete agora. É… De pagar bom colégio pro filho, mas isso não deveria ter bom colégio. Você tinha que ter colégio público legal, você tinha que ter uma saúde legal para não precisar pagar um plano.  ","ctid:5214","01 Riqueza material","","00 Riqueza"
"Grupo 10 - Pobres - Pretos - 13-11-2024.docx","José Victor","M: Tá.  M: E você, XXX?  P7: Poder.  M: Você, XXX?  P6: Felicidade.","ctid:5197","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 10 - Pobres - Pretos - 13-11-2024.docx","José Victor","M: Tá. Eu acho que, enfim, vocês vão ver que a gente vai falar sobre... Acho que sobre quase tudo isso aqui hoje. Deixa eu entender um pouco aqui que foi o XXX que falou... O XXX e... Não, eu estou confundindo “liberdade” e “felicidade”. O XXX falou felicidade. Fala mais sobre isso. Por que você usou essa palavra “felicidade”, XXX?   P6: A felicidade que eu quis dizer foi de um modo geral, porque às vezes a gente trabalha tanto, tanto, tanto e não consegue ver o dinheiro. Por exemplo, que nem essa agora que estão lutando para acabar com a escala 6x1. O pessoal que trabalha na escala 6x1 quase não vê o dinheiro dele. Ele trabalha tanto que ele é infeliz, de certa parte, e acaba não tendo felicidade de poder viver a vida do jeito que ela quer, dependendo também da função que ela exerce, né.","ctid:5200","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 10 - Pobres - Pretos - 13-11-2024.docx","José Victor","P1: Riqueza pra mim… A gente também tem muito essa concepção hoje de que quem tem riqueza é o cara que tem um milhão de seguidores, que mora numa mansão de cinco milhões na Barra. Isso não é riqueza. Às vezes a pessoa é muito mais feliz tendo, talvez, um salário que a renda da família seja cinco mil reais do que uma pessoa que tem cinquenta. Ou de que uma pessoa só na casa ganhe dez e sustente todo mundo. Porque é muito ruim quando você, no meu caso, assim, da minha percepção de vida, não sei de vocês, né? Assim, a minha família é dividida. Um pessoal é classe média... Classe média que eu digo que ganha mais de 8 mil reais, não é que ganha 4 mil reais, 5 mil reais, não. Quatro, cinco mil reais seria o ideal para as pessoas sobreviverem hoje. Que é pagar um bom colégio, que é uma coisa que deveríamos já ter, mas não é enquete agora. É… De pagar bom colégio pro filho, mas isso não deveria ter bom colégio. Você tinha que ter colégio público legal, você tinha que ter uma saúde legal para não precisar pagar um plano.  ","ctid:5215","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 10 - Pobres - Pretos - 13-11-2024.docx","José Victor","P2: Eu acho que o dinheiro ele não traz, ele manda buscar, né? De uma certa forma. Só que a felicidade em si tá mais em... Como você está levando a vida naquele momento. A felicidade é um estado de espírito, eu não vejo como uma constante. Você se encontra feliz. O rico também é infeliz, o rico também tem os problemas. E essa // ","ctid:5208","03 Quem é o rico","","00 Riqueza"
"Grupo 10 - Pobres - Pretos - 13-11-2024.docx","José Victor","M: Então XXX, mas então você está falando que tem certo aspecto de igualdade entre quem é rico e não é rico na felicidade, não no bem material. É isso que você está querendo dizer?  P1: Não na parte financeira. //  M: Não na parte financeira, na parte de felicidade.  PN: Do ser humano…","ctid:5220","03 Quem é o rico","","00 Riqueza"
