"File","Coder","Coded","Id","Codename","Coded_Memo","Category"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Olga","P8: Carro, viagem e poder.

P7: É… Viagem, né? Luxo, né? É basicamente isso, né, que a riqueza traz.

M: E você, XXX?

P6: Bom, riqueza… Ah, sei lá. Estabilidade, família. (...)

M: Tá… Você, XXX?

P5: É… Status, conforto.

P4: Qualidade de vida. (...)

M: E você, XXX?

P3: Então, primeiro, esse “riqueza” tem que ser mais especificado, né? Porque o Brasil é um país rico em fauna, em flora. Então nós estamos falando de riqueza social, certo?

M: Não, eu quero… Nessa primeira rodada eu quero assim: “‘Riqueza’, o que é que estala na sua cabeça”?

P3: Então… Riqueza, saciedade. Riqueza, estabilidade. E riqueza, favorecimento. (...)

M: E você, XXX?

P2: [inc.] Estabilidade, que é fato. Grande poder de compra, que é o ideal. Só. Tem mais coisas, mas já citaram.

M: Tá. E você, XXX?

P1: Empreendimento, sucesso e… Carreira. (...)","ctid:4711","01 Riqueza material","","00 Riqueza"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Olga","M: Não sei se você tava aqui quando eu falei. Eu falei que às vezes eu ia parecer uma criança pedindo para especificar as coisas. Tá na hora de eu começar a fazer isso. O que é “luxo”? Como você visualiza o luxo? O que sinaliza que é uma coisa luxuosa, que é uma coisa…

P7: Um padrão de vida, é… Um padrão de vida luxuoso. O que eu quiser. Chegar na loja e poder, entendeu, me proporcionar aquilo de acordo com o dinheiro que eu tenho. Isso na riqueza, porque na parte mais humilde a pessoa não vai poder proporcionar aquilo que a gente almeja, né, para poder ter.

M: Mas o que você... Se eu te pedir pra dar exemplos de coisas luxuosas, você falaria sobre o que?

P7: Um carro.

M: O que mais?

P7: Bom, uma viagem boa, entendeu? Pra eu poder proporcionar, no caso, às minhas filhas, uma vida estável, estabilizar uma boa escola. Isso que eu diria como luxo.","ctid:4721","01 Riqueza material","","00 Riqueza"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Olga","M: E vocês acham que riqueza e renda são a mesma coisa ou são coisas diferentes?  P7: Riqueza e o que?  M: E renda.  P1: Eu acho que é diferente, né.  M: Diferente? Como, XXX?  P1: Bom, vamos lá. Riqueza e renda são diferentes, não são?  PN: São.  P1: São diferentes. Assim, por exemplo, a riqueza você tem como… Investir. A renda, você já tem aquilo ali programado, né? É minha opinião.  P4: É como se fosse uma coisa fixa, né?  P1: Uma coisa fixa.  P2: Isso!  P4: E a riqueza não. Você pode ter investido, você pode estar recebendo ali.  P1: Isso. Obrigado, tá? [Risos]  P4: Você pode estar recebendo juros de um investimento… Eu acho que pode ser por esse lado.  PN: Exatamente.  P2: É o contrário.  P3: É o contrário. Renda é aquilo que você tem guardado, que rende. Já a riqueza é aquilo que te proporciona aquilo que você pode conquistar.  P2: É a sua base.  [Muitos falam ao mesmo tempo]  P1: É, isso mesmo. Me ajudou também.  M: Então eu acho que vou precisar de uma definição de riqueza aqui para a gente falar tudo a mesma palavra. Eu acho que o XXX falou uma coisa que... //  PN: XXX.  M: Desculpa. XXX. Que tem a ver, mas… Eu vou ler aqui para gente e a gente segue assim. “‘Riqueza’ são os recursos materiais que são relativamente estáveis, herdáveis, e que podem ser facilmente convertidos em outras formas de capital.” Então a riqueza não vai vir todo mês, acho que é um pouco do que a XXX estava falando. E pode ser transmitida de geração em geração, e pode ser trocada como outros… É, recursos.  P4: Pode ser investida.","ctid:6176","01 Riqueza material","","00 Riqueza"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Olga","P6: Isso é luxo.  M: O que?  P6: Ter dinheiro para pagar todas as contas.  P1: É. Comer tudo do bom e do melhor.  P6: Isso pra mim é luxo. Tu não pensar [inc.].","ctid:6178","01 Riqueza material","","00 Riqueza"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Olga","P8: Carro, viagem e poder.

P7: É… Viagem, né? Luxo, né? É basicamente isso, né, que a riqueza traz.

M: E você, XXX?

P6: Bom, riqueza… Ah, sei lá. Estabilidade, família. (...)

M: Tá… Você, XXX?

P5: É… Status, conforto.

P4: Qualidade de vida. (...)

M: E você, XXX?

P3: Então, primeiro, esse “riqueza” tem que ser mais especificado, né? Porque o Brasil é um país rico em fauna, em flora. Então nós estamos falando de riqueza social, certo?

M: Não, eu quero… Nessa primeira rodada eu quero assim: “‘Riqueza’, o que é que estala na sua cabeça”?

P3: Então… Riqueza, saciedade. Riqueza, estabilidade. E riqueza, favorecimento. (...)

M: E você, XXX?

P2: [inc.] Estabilidade, que é fato. Grande poder de compra, que é o ideal. Só. Tem mais coisas, mas já citaram.

M: Tá. E você, XXX?

P1: Empreendimento, sucesso e… Carreira. (...)","ctid:4713","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Olga","P3: Esse transplante não foi pra frente. Por quê? Dinheiro não compra saúde, então independente de qualquer coisa.  P1: Um termo bom... Você falou que dinheiro não compra saúde. A minha mãe, ela operou recentemente, assim, tem mais ou menos uns 5 anos atrás que a minha mãe operou. O que aconteceu com ela? A minha mãe saiu do Rio, fomos a São Paulo para fazer a cirurgia dela. Não passamos pelo hospital público direto, nós passamos pelo particular e do particular ela foi encaminhada para o público. A minha mãe fez uma cirurgia de quase 100 mil reais de graça. Por que? Pelo público.","ctid:6170","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Olga","P6: Isso é luxo.  M: O que?  P6: Ter dinheiro para pagar todas as contas.  P1: É. Comer tudo do bom e do melhor.  P6: Isso pra mim é luxo. Tu não pensar [inc.].","ctid:6179","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Olga","M: Tá. Deixa eu entender um pouco melhor. Vou começar com quem falou mais na direção do consumo. XXX, vou pedir para você começar de novo. Você falou carro… Carro e viagem, no mínimo, são dimensões de consumo, e por que que é isso que vem na sua cabeça quando fala “riqueza”?

P8: Ah, porque você ir de Fusca pra um lugar e ir de Mercedes é totalmente diferente, né? Então, pela tua riqueza, você pode escolher se você vai de Fusca ou de Mercedes.

M: Mas você pensa numa pessoa rica… A primeira coisa que vem na cabeça é o que ela consegue comprar com o dinheiro?

P8: É.

M: É? Tá. Por quê?

P8: Porque ela tem dinheiro.

M: E tem que ter muito?

P8: Não, a pessoa pode viver simples. Assim, uma casa modesta no meio do mato, mas ela tem poder de riqueza. Se ela chegar no shopping e fechar a loja, “Eu quero a loja toda”, ela tem como comprar, entendeu? Já a empregada doméstica não vai poder fazer isso.

M: Tá. Então você acha também… Mas então tem tipos de rico?

P8: Tem.

M: Vai ter o rico que... //

P8: Emergente e o outro que é mais… Recatado, entendeu? Na dele.","ctid:4716","03 Quem é o rico","","00 Riqueza"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Olga","M: Tá. Vocês acham que pessoas ricas são tratadas diferentes no cotidiano delas?  P8: Claro.  P7: Com certeza.  M: É? Como?  P2: Você vê que a pessoa te olha diferente.  P7: Quando você entra numa loja. Quando você entra numa loja, você vê por ali o tipo de tratamento. Você chegar… A pessoa posturada, na beca, tal, aí o vendedor já te… Dependendo do vendedor, tem vendedor… Eu já fui vendedora. Que te olha com um olhar mais [inc.]. Eu sou muito comunicativa, sempre fui, então, tipo, eu trato todo mundo sem diferença. Do rico ao pobre. Então… Mas tem vendedores que não existe disso, entendeu? Você chega em uma loja e eles te olham tipo assim: “Ah, ela não vai comprar nada”. Você pode estar com o cartão emprestado, mas você vai comprar, você não sabe... //  [Muitos falam ao mesmo tempo]  P7: // Isso. Você não pode acusar a pessoa pela… //  P1: Pela aparência.  P7: // Pela aparência.  P1: [Inc.] comprando um carro, aí o cara destrata a pessoa lá, o cliente...  P7: Já aconteceu isso comigo. Eu fui comprar um celular e tipo eu tava… Saí do trabalho, fui correndo, eu e meu ex-marido. A gente chegou lá, tipo, a mulher chegou e tratou a gente com a maior indiferença. Eu tava com muita dúvida no celular, aí eu: “Não, eu queria ver esse. Mas esse aqui tem o que de diferente desse?”. E a mulher cagando para a gente. Aí um outro vendedor viu que a gente tava lá ainda... Aí eu não ia levar daquela loja, mas o outro vendedor veio e teve muito... //  [Muitos falam ao mesmo tempo]  P1: Foi gentil.  P7: // Aí eu fui lá… Aí meu ex-marido falou assim: “Vai levar daqui?”. Eu falei: “Não, vamos levar daqui, ela foi tão legal, né, foi tão cortês.” Tipo, foi lá, pegou, fez, aconteceu.  M: Então tem uma dimensão de visibilidade da riqueza... //  P7: Isso, com certeza!","ctid:6173","03 Quem é o rico","","00 Riqueza"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Olga","P3: Mas rico não frequenta só loja de alto padrão, rico frequenta toda a sociedade. Então não dá para [inc.] //","ctid:4758","03 Quem é o rico","","00 Riqueza"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Olga","P4: // Eu trabalho com dois tipos de trabalhos diferentes. Eu trabalho de CLT, que eu sou comandada por uma dona. E trabalho por minha conta que é o que a gente estava falando, tenho que trabalhar muito mais porque é o meu negócio. Quando você trabalha para alguém, esse alguém, no meu caso, ela veio da Alemanha, é uma pessoa que nasceu em berço de ouro. Então ali eu vejo que, infelizmente, tem a diferença... As pessoas que vem de berço de ouro. Tem umas que te tratam bem e tem outras que aproveitam, por ser dona do próprio negócio, para impor algumas coisas para o funcionário. E aí o funcionário, alguns, são topetudos e vão encarar, vão bater de frente. Outros não. Outros vão se submeter a falar sim para aquilo ali porque aquela pessoa tem mais poder financeiro que ela. E tem medo de ficar desempregado e não poder pagar aluguel, não poder cuidar dos filhos... //

PN: É a verdade.

P4: // A verdade é que hoje em dia às vezes uma pessoa só tem uma renda. Então ela nunca vai bater de frente com aquela pessoa que tá pagando a renda dela. Entendeu? Então são… Eu vivi isso, por isso que tô falando. Eu fui a única numa empresa, numa clínica, que batia de frente com [inc.]. Mas aí não é todo mundo. As pessoas… Elas falaram para mim: “Eu tenho medo, não vou fazer isso”.

P2: Mas esse é o local que você acha que acontece isso?

P4: Não, eu digo assim, ele falou para expor. Eu, no meu caso, a minha experiência é com uma pessoa que tem uma grana, nasceu num berço de ouro, veio da Alemanha… Então, assim, para mim ela usa isso… //

P3: A favor dela.

P4: // A favor dela. Então, assim, tá certo por que? “Eu quero, eu sou dona da empresa, tem que fazer o que eu quero. Eu tenho dinheiro, que vou te pagar”... //

P3: Se entrar num desacordo você vai embora.

P4: // “Então se você não quer, eu vou te mandar embora.” Então, assim... //

P7: Você vai pra rua, ou você [inc.].

P4: // Então, assim, uma empresa com 60 pessoas, uma pessoa bateu de frente e falou: “Não vou assinar o acordo porque tá errado. Eu consultei um advogado, consultei uma pessoa de DP. Tá errado! Não vou assinar”. E ficou tudo bem, porque ela sabia que ela não era obrigada a assinar aquilo ali. Só que nem todo mundo... A maioria não vai fazer porque tem medo. Então eles usam esse poder… //

PN: É… Verdade!

P4: // Eles usam isso a favor deles!","ctid:4761","03 Quem é o rico","","00 Riqueza"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Olga","M: Tá. E você, XXX?

P2: Eu fico com a parte de regional mesmo.

M: Regional, de espaço na cidade.

P2: Na Zona Sul, ali é um local que só acessa quem tem dinheiro, quem é rico. Ali eu consigo ver que há uma grande diferença.

P3: Não, mas como assim? Porque na Zona Sul tem três favelas só em Copacabana, por exemplo... //

P2: Ah, mas aí eu não tô dizendo da favela. Rico não vai morar na favela. Ele mora até próximo a uma favela, mas… //

P3: // Então, ele não vai morar na favela, mas ele vai subir o morro para interagir. Vai subir o morro para comprar a droga dele, vai subir ao morro para pagar propina, então…

P2: // Mas isso aí é uma coisa muito íntima. [inc.] O debate é aonde eu vou e fico mais...

P8: Não, tem delivery. Você liga e pede 10 cocaínas, 5 maconhas [inc.]. [Risos]. Fumar um crackzinho [inc.].","ctid:4763","03 Quem é o rico","","00 Riqueza"
