"File","Coder","Coded","Id","Codename","Coded_Memo","Category"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P8: É um teto para morar.","ctid:2253","01 Riqueza material","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P7: Bastante coisa. Dinheiro.","ctid:2254","01 Riqueza material","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P7: Ter muito dinheiro ao ponto de você poder fazer o que você quiser, sem se preocupar com o amanhã. Tá. XXX falou...","ctid:2255","01 Riqueza material","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P3: Eu acho que riqueza, além da riqueza material, né? A riqueza de você ter amor dentro de casa e tudo isso. Mas, principalmente, riqueza, assim, no meu ponto de vista, não seria eu ter um teto. Não. É eu ter dinheiro para fazer tudo o que eu quiser, viajar, sem se preocupar. Mais ou menos isso.","ctid:2260","01 Riqueza material","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P2: Eu acho que tem muitas distinções, né? Quando a gente pensa em riqueza, automaticamente vem muitos bens materiais, uma casa grande que possa aportar toda nossa família, bens materiais no geral. Mas riqueza também, como ela disse, vem de felicidade, alegria, amor... ","ctid:2264","01 Riqueza material","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P4: Ah, ser rico é ter posses, casa.","ctid:2269","01 Riqueza material","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P3: Eu acho que riqueza, além da riqueza material, né? A riqueza de você ter amor dentro de casa e tudo isso. Mas, principalmente, riqueza, assim, no meu ponto de vista, não seria eu ter um teto. Não. É eu ter dinheiro para fazer tudo o que eu quiser, viajar, sem se preocupar. Mais ou menos isso.","ctid:2259","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P2: Eu acho que tem muitas distinções, né? Quando a gente pensa em riqueza, automaticamente vem muitos bens materiais, uma casa grande que possa aportar toda nossa família, bens materiais no geral. Mas riqueza também, como ela disse, vem de felicidade, alegria, amor... ","ctid:2265","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P2: Para mim é ter liberdade.","ctid:2267","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P7:  // Eu acho que ser rico... Você pode ser rico em várias áreas. Você pode ser rico de conhecimento, rico de saúde. Ter dinheiro é uma coisa mais específica. ","ctid:2270","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P4: Você estava falando sobre a pessoa que tem dinheiro, mas sabe se portar naquele nível, naquele ambiente de pessoas que tem dinheiro. Então tem riqueza porque ele sabe se portar... É isso que você quer?","ctid:2271","03 Quem é o rico","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P2: // Entendeu? O rico pode ser avaliado a partir de um filtro de dinheiro. Ah, ganha a partir de 50 mil por ano. Então naquele momento ele é rico, mas... //  P8: [inc.] de posses, né?  P2: // Exatamente. A riqueza começa a partir das propriedades. Quando você tem propriedades, tem bens. Aí o governo passa a te tratar como alguém que tem posses e propriedade. Para mim essa é a base da riqueza. Você começa a ser enxergado de outra forma na sociedade e no governo em geral. ","ctid:2274","03 Quem é o rico","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P2: É, como se alguém... Por exemplo, eu ganhei na Mega-Sena, eu estou rico, estou rico, mas eu não sou rico se eu não mantiver essa riqueza...","ctid:2275","03 Quem é o rico","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P6: Na escola, como ele falou, porque minha mãe já trabalhou para uma juíza, então na época de escola ela até ajudou a gente, na hora de ajudar financeiramente, pagar um cursinho, para tentar entrar no Pedro II ou num colégio militar, eu acho que ajudou, mas a nossa mentalidade, no meu caso, de vir do interior, não tenho tanto estudo, minha mãe também não, eu tive uma oportunidade e não soube aproveitar. Aí seguindo, por exemplo, a filha da patroa, a menina não queria nada da vida, mas ela já veio de uma classe média alta, não estudou aqui, estudou em uma escola na Urca de 2 mil reais por mês, ou mais, não fez nada no Brasil, a mãe mandou para o exterior, entendeu? Então, ela teve, mesmo não querendo, ela teve o subsídio por ser de uma classe bem alta. E é isso. ","ctid:2303","03 Quem é o rico","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","M: Maravilha. E aí, olha só, gente. Quem são as pessoas do topo? Que tipos de pessoas são as que estão no topo?   P3: Políticos.  P6: Políticos.  P8: Os grandes empresários.  P3: Grandes empresários.  P8: Os grandes empresários, que são os formadores de opinião... //   P4: Banqueiros.  P8: // Vide as últimas eleições. Os verdadeiros formadores de opinião são os grandes empresários que mandam e desmandam.  P4: Eles influenciam em tudo.  P6: Bandidos também. [risos]  M: Bandidos estão no topo.  P8: Se for ver em dinheiro, eles estão lá.","ctid:2341","03 Quem é o rico","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P5: Os ricos do meio são os empresários. Dão as oportunidades para as pessoas que estão na base conseguir conquistar uma coisinha, entendeu? Os mais ricos estão acima deles. Que são os jogadores de futebol... //  PN: Bilionários.  P5: // Vamos botar ali os políticos. E assim vai.","ctid:2343","03 Quem é o rico","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","M: Qual o tipo de pessoa que tá no meio?   P3: Eu acho que é o rico que não é tão rico, digamos assim. Rico na nossa visão... //  P5: Classe média. O cara que batalhou para comprar as coisas...  P3: // Eu não digo classe média, classe média é aquele um ou dois acima da base. É um rico que não tem tanto esse poder quanto, por exemplo, um político tem de pegar o jatinho e dar 5 voltas no mundo ali e de boaça. Ele tem grana o suficiente para ele fazer o que ele quiser, mas não tanto quanto, por exemplo, o político. ","ctid:2347","03 Quem é o rico","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P2: Esse cara é o do meio. O do topo, para mim, são os bilionários. Como ele falou, por exemplo, o do meio é o empresário que tem uma empresa, que dá oportunidade para nós que estamos mais embaixo. E o dono de várias empresas é o que está no topo, é o bilionário. É o dono, por exemplo, do Grupo Soma. O Grupo Soma tem FAB, tem Maria Filó, tem agora a junção com a Arezzo, que é riquíssima, então há uma grande quantidade. Esses são os milionários que estão no topo, na minha visão. ","ctid:2351","03 Quem é o rico","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P8: É o cara que espirra e está Disney, vai para Paris, com facilidade.","ctid:2352","03 Quem é o rico","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P5: Luxos. Assim, basicamente luxos. Ter as coisas que você quer, quando você quer, sem se preocupar muito.","ctid:2257","04 Consequência material da riqueza","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P3: Eu acho que riqueza, além da riqueza material, né? A riqueza de você ter amor dentro de casa e tudo isso. Mas, principalmente, riqueza, assim, no meu ponto de vista, não seria eu ter um teto. Não. É eu ter dinheiro para fazer tudo o que eu quiser, viajar, sem se preocupar. Mais ou menos isso.","ctid:2261","04 Consequência material da riqueza","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","M: Qual o tipo de pessoa que tá no meio?   P3: Eu acho que é o rico que não é tão rico, digamos assim. Rico na nossa visão... //  P5: Classe média. O cara que batalhou para comprar as coisas...  P3: // Eu não digo classe média, classe média é aquele um ou dois acima da base. É um rico que não tem tanto esse poder quanto, por exemplo, um político tem de pegar o jatinho e dar 5 voltas no mundo ali e de boaça. Ele tem grana o suficiente para ele fazer o que ele quiser, mas não tanto quanto, por exemplo, o político. ","ctid:2348","04 Consequência material da riqueza","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P7: Ter muito dinheiro ao ponto de você poder fazer o que você quiser, sem se preocupar com o amanhã. Tá. XXX falou...","ctid:2256","05 Consequência imaterial da riqueza","","00 Riqueza"
"Grupo 5 - Pobres - Brancos - 04-11-2024.docx","Germano","P5: Luxos. Assim, basicamente luxos. Ter as coisas que você quer, quando você quer, sem se preocupar muito.","ctid:2258","05 Consequência imaterial da riqueza","","00 Riqueza"
