"File","Coder","Coded","Id","Codename","Coded_Memo","Category"
"Grupo 7 - Classe Média - Brancos - 06-11-2024.docx","José Victor","P7: Bens. ","ctid:4107","01 Riqueza material","","00 Riqueza"
"Grupo 7 - Classe Média - Brancos - 06-11-2024.docx","José Victor","P8: Poder de consumo.  ","ctid:4106","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 7 - Classe Média - Brancos - 06-11-2024.docx","José Victor","P6: Oportunidade.   M: Pode, pode... Assim, se conseguir ser criativo tudo bem, mas se não conseguir tudo bem também. Você ia falar oportunidades?  P5: Liberdade.  M: Liberdade. Você pode deixar sua plaquinha virada para cá? XXX, e você?   P4: Eu ia falar oportunidades... //  M: Ah, você quer falar oportunidade.   P4: // Mas pode botar esforço também.   M: Esforço, tá.  P3: Estabilidade.  P2: Pessoas.   M: Pessoas.   P1: Acesso.   M: Acesso.  ","ctid:4108","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 7 - Classe Média - Brancos - 06-11-2024.docx","José Victor","M: Eu vou começar por pessoas. O que você quis dizer quando você falou isso, XXX?  P2: Desde novo, sempre entendi e aprendi que ninguém consegue resolver nada sozinho. A gente precisa trabalhar em equipe para poder um ter resultado bom. Existem coisas na vida que a gente consegue resolver sozinho, mas a maioria dos bons resultados é trabalhado em equipe. Eu sempre aprendi que pessoas movem o local.   M: E aí você acha que conhecer pessoas, ter bons relacionamentos é um tipo de riqueza? Tá, entendi. Então, essa rodada introdutória me ajudou, com exceção... Sem problema, tá? Porque o tipo de conversa... Quando a gente tem esse tipo de dinâmica, às vezes tem outras palavras um pouco nessa direção, de avaliações um pouco mais holísticas sobre o que é riqueza. Então, uma pessoa pode falar que é saúde, que é isso e aquilo... Outras referências. E aqui eu estou querendo falar hoje mais na direção do que as outras pessoas falaram, num sentido mais material, tá? Então eu vou ler uma definição aqui só para servir de referência para a continuidade da conversa, e a gente vai seguir com algumas perguntas que eu vou fazer. Riqueza: “São todos os recursos materiais que estão relativamente estáveis, herdáveis e que podem ser facilmente convertidos em outras formas de capital”. Isso é mais para a gente pensar que a gente está falando aqui mais na parte financeira, material. Eu vou fazer umas perguntas para vocês aqui hoje. Então, a minha primeira pergunta é a seguinte... Eu preciso de um voluntário para a gente começar. Agora podem elaborar. As palavras-chave vão parar aqui. Agora a gente vai conversar. O que significa ser rico para vocês? Na opinião de vocês? ","ctid:4109","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 7 - Classe Média - Brancos - 06-11-2024.docx","José Victor","P6: Riqueza é saúde também, gente.  ","ctid:4180","02 Riqueza - definições IMateriais","","00 Riqueza"
"Grupo 7 - Classe Média - Brancos - 06-11-2024.docx","José Victor","P5: Eu acho que dá para identificar sim. Atualmente, eu acho que as pessoas ricas procuram ostentar. Procuram mostrar às vezes os bens. Ou até estar envolvida, como ela falou, com coisas ilícitas. E você acaba ouvindo de alguma forma, seja na mídia, seja... E as pessoas hoje ostentam muito, porque hoje você tem muita questão aí, sei lá... Da famosa lavagem de dinheiro e tudo isso. Então, é... Todo o mercado, né? As pessoas comprando coisas...   M: Quem ostenta, ostenta o quê?   P5: Acho que às vezes... Por exemplo, investimento em imóveis, enfim, né? Mercado... Diversas coisas, né? Com viagens...","ctid:4129","03 Quem é o rico","","00 Riqueza"
"Grupo 7 - Classe Média - Brancos - 06-11-2024.docx","José Victor","P7: As pessoas, realmente, hoje em dia é uma cultura de ostentação, né? Roupa, joias, carros, estilos de vida, redes sociais. Mas também há pessoas que são herdeiras...  P5: Redes sociais, que as pessoas querem mostrar nas redes sociais que estão em lugares, em restaurante chique, ou viajando.   P4: Mas às vezes tem muita permuta, gente. Me desculpa falar, mas tem gente que...  P6: Eu conheço pessoas realmente ricas, ricas... //  P4: Que não ostentam!  P6: // Elas não ostentam. Eu acho assim... Quem realmente é rico, não ostenta. Isso eu falo porque eu conheço de convivência. E você vai encontrá-las em ambientes específicos, bem fechados, em tais restaurantes específicos, que não é modinha... //  PN: É...","ctid:4132","03 Quem é o rico","","00 Riqueza"
"Grupo 7 - Classe Média - Brancos - 06-11-2024.docx","José Victor","P6: // Porque hoje em dia tem essa questão de rede social. Então, assim, eu acho que você... Você falou assim, como a gente percebe? Pela conversa, já é um tom mais culto... //  PN: É a cultura...  P6: // Você fala de cultura, você fala de viagens, fala de investimento, são pessoas que já pensam um pouco além. Porque se tem, quer mais. Já as pessoas que vêm mais de baixo, ou conseguiu de uma forma mais fácil, eu acredito que ela já gosta mais... Tem essa necessidade, talvez por uma carência nela, de lá atrás, porque ela não teve... De ter essa ostentação na rede social....","ctid:4133","03 Quem é o rico","","00 Riqueza"
"Grupo 7 - Classe Média - Brancos - 06-11-2024.docx","José Victor","P5: Eu acho que você tem dois quadros, você tem os ricos de herança, o rico que herdou muitos bens de herança, de coisas assim, e você tem o famoso emergente... //  P6: O rico de verdade e o emergente. É isso aí.  P5: // Que se tornou rico e ficou meio deslumbrado.  ","ctid:4135","03 Quem é o rico","","00 Riqueza"
"Grupo 7 - Classe Média - Brancos - 06-11-2024.docx","José Victor","P3: Mas eu acho que há uma diferença muito grande do rico raiz, da pessoa que foi pobre... Por exemplo, aquela Jojo Todynho, a gente sabe que hoje ela é rica. Ela tem um linguajar que se você parar para conversar agora, você não vai dizer que ela tem dinheiro. Ela tem um linguajar no sangue, extremamente do subúrbio das pessoas que tem uma...   P6: E é o perfil, é o tipo de roupa que... É uma roupa que é muito mais puxada para... Não sei... mais puxada para o vulgar, né? //  P3: Tem a necessidade.   P6: // Tem a necessidade.  P4: Tem a necessidade também de falar, né?  P8: Eles também ficam mais ricos com essa exposição. Eles são influenciadores, eles precisam ser admirados, né? Eles querem que as pessoas admirem, que queiram se inspirar, se espelhar neles, para que assim eles tenham mais engajamento e continuem crescendo. ","ctid:4136","03 Quem é o rico","","00 Riqueza"
